x,y
392,51.442,100.357
393,52.401,92.756
394,99.864,127.625
395,52.286,79.816
396,95.461,41.506
397,9.049,44.744
398,-4.448,60.045
399,57.493,42.754
400,84.338,70.198
401,-15.195,59.2
402,-5.295,88.033
403,84.927,53.29
404,117.529,27.877
405,23.241,106.976
406,77.552,11.64
407,-19.533,69.086
408,65.431,102.727
409,16.969,92.552
410,-19.056,86.103
411,74.928,80.698
412,100.058,21.768
413,63.316,28.766
414,116.67,129.319
415,64.176,129.963
416,35.917,7.164
417,76.992,94.913
418,68.676,41.558
419,42.334,115.408
420,22.913,8.742
421,39.664,123.333
422,102.299,16.26
423,124.247,85.67
424,59.905,81.398
425,-10.654,29.533
426,27.5,62.881
427,56.513,124.178
428,36.342,23.146
429,73.649,104.121
430,47.868,117.518
431,80.83,48.673
432,43.892,85.05
433,46.844,41.478
434,93.065,93.697
435,-0.589,40.284
436,80.899,13.377
437,122.024,103.19
438,73.686,120.758
439,32.016,70.396
440,49.917,56.723
441,13.351,99.113
442,51.469,54.719
443,-17.899,72.298
444,114.722,90.106
445,9.234,60.628
446,29.267,39.187
447,-19.792,135.367
448,116.705,15.424
449,3.739,23.829
450,94.256,44.416
451,62.356,79.015
452,-7.889,26.781
453,49.755,89.775
454,-8.849,101.061
455,79.912,13.152
456,45.026,134.06
457,-3.092,32.501
458,95.958,20.64
459,17.187,18.974
460,25.887,35.405
461,3.918,17.168
462,-10.619,83.369
463,26.014,85.89
464,70.609,128.113
465,12.572,27.277
466,0.44,83.756
467,68.678,49.514
468,112.843,29.021
469,13.542,23.767
470,69.36,95.471
471,-1.266,56.736
472,80.276,50.331
473,77.056,124.288
474,64.191,131.704
475,60.983,105.649
476,-11.113,14.845
477,24.002,83.682
478,105.738,38.291
479,-5.946,129.759
480,55.977,104.421
481,49.795,121.479
482,44.243,131.963
483,32.688,76.312
484,89.509,114.204
485,54.898,80.056
486,113.165,108.752
487,25.503,85.187
488,29.429,29.271
489,57.233,64.276
490,-3.489,89.904
491,103.17,5.72
492,68.025,61.796
493,-21.451,129.069
494,17.406,20.176
495,111.774,93.875
496,118.207,111.96
497,0.763,42.687
498,18.974,46.212
499,46.167,95.033
500,111.305,63.926
501,8.017,71.252
502,12.798,17.907
503,50.165,41.597
504,3.145,95.78
505,74.379,17.68
506,49.193,106.744
507,16.789,58.044
508,84.762,102.743
509,89.312,39.702
510,105.839,53.374
511,7.093,58.044
512,74.588,22.391
513,-2.687,21.372
514,111.191,37.561
515,84.199,100.099
516,70.778,65.599
517,105.614,43.897
518,81.979,85.426
519,59.98,23.658
520,124.841,13.074
521,106.779,11.014
522,-20.504,67.833
523,25.075,63.886
524,101.168,18.663
525,38.242,120.311
526,1.21,33.58
527,-10.231,34.33
528,116.18,14.063
529,18.916,16.077
530,-20.17,19.089
531,-17.281,116.388
532,104.112,57.856
533,24.139,96.647
534,31.31,47.187
535,113.524,51.716
536,13.493,81.287
537,122.79,124.581
538,-14.18,63.421
539,94.717,99.622
540,83.267,24.111
541,41.806,5.976
542,81.551,114.652
543,-13.039,45.524
544,74.879,27.268
545,113.353,103.713
546,97.972,106.759
547,64.733,90.34
548,104.111,24.488
549,50.675,18.306
550,82.375,89.589
551,115.483,43.478
552,104.409,10.424
553,-20.81,91.782
554,36.764,60.639
555,102.815,117.03
556,24.74,121.927
557,25.165,71.968
558,36.472,121.723
559,108.895,70.685
560,87.283,16.448
561,34.014,131.244
562,86.616,67.883
563,12.616,110.897
564,84.982,113.466
565,96.604,41.756
566,124.48,42.385
567,120.826,34.399
568,51.161,81.032
569,15.425,65.087
570,25.442,27.918
571,57.664,109.844
572,37.009,33.918
573,31.416,93.561
574,121.536,101.487
575,39.357,60.728
576,124.551,58.184
577,53.27,32.921
578,-9.405,116.631
579,-6.938,36.398
580,39.733,17.577
581,31.927,51.358
582,3.154,16.791
583,70.365,16.411
584,-20.769,65.984
585,8.463,132.417
586,-4.79,127.317
587,122.444,27.811
588,58.282,45.878
589,124.563,43.783
590,123.675,79.95
591,120.34,95.806
592,107.691,73.596
593,5.059,114.701
594,63.996,51.511
595,45.005,100.085
596,70.157,127.191
597,33.823,105.234
598,95.951,55.422
599,84.666,16.224
600,4.977,60.29
601,72.616,108.133
602,5.171,35.583
603,38.796,120.301
604,56.318,76.243
605,116.75,41.864
606,71.163,50.253
607,28.915,133.638
608,-6.34,10.421
609,101.13,118.839
610,52.554,90.312
611,55.765,55.709
612,-9.066,94.205
613,115.211,6.14
614,118.176,6.461
615,118.948,70.838
616,97.033,15.787
617,23.667,69.417
618,120.297,39.484
619,50.289,86.848
620,-13.465,33.14
621,4.449,127.174
622,80.427,77.366
623,-19.368,72.724
624,71.823,103.469
625,31.479,85.451
626,50.298,85.547
627,67.049,20.863
628,-7.404,116.356
629,15.632,88.04
630,84.223,52.268
631,57.892,79.484
632,45.648,109.788
633,-13.469,51.348
634,57.307,59.129
635,52.811,19.043
636,102.777,74.668
637,12.658,10.253
638,61.596,14.347
639,78.413,32.807
640,98.784,35.493
641,35.173,99.888
642,5.324,127.605
643,105.311,117.435
644,16.395,12.005
645,36.935,13.489
646,-7.932,73.525
647,61.539,106.549
648,69.387,89.725
649,46.707,85.344
650,93.657,130.974
651,53.011,119.84
652,115.386,58.962
653,104.259,13.43
654,58.641,23.698
655,75.123,94.83
656,51.158,87.64
657,-18.855,24.386
658,113.712,29.056
659,84.549,21.202
660,-9.71,39.597
661,93.84,118.576
662,81.978,46.736
663,18.308,33.9
664,99.401,37.209
665,22.179,90.597
666,112.616,103.376
667,-17.524,94.048
668,44.738,82.777
669,95.444,21.675
670,76.697,73.815
671,105.117,99.303
672,58.997,102.368
673,35.539,112.766
674,58.022,120.623
675,91.674,70.644
676,98.388,105.417
677,19.124,32.731
678,112.599,127.347
679,37.807,12.999
680,80.373,95.403
681,96.93,11.063
682,120.54,101.391
683,68.274,50.819
684,108.858,104.944
685,86.96,52.021
686,-9.781,63.265
687,35.613,41.487
688,77.785,88.589
689,29.443,38.95
690,95.503,36.27
691,119.114,13.494
692,81.43,101.062
693,53.239,114.905
694,41.54,127.098
695,0.486,82.231
696,63.245,128.327
697,117.227,7.478
698,32.41,82.578
699,100.278,109.341
700,39.862,81.047
701,78.983,91.242
702,109.92,28.279
703,66.778,46.144
704,26.535,34.609
705,28.586,132.432
706,86.949,59.213
707,117.923,131.283
708,98.779,115.618
709,31.74,122.792
710,30.812,39.477
711,83.577,115.149
712,56.687,11.306
713,15.661,5.564
714,5.021,37.929
715,63.672,110.441
716,116.289,37.304
717,76.913,28.94
718,96.024,69.135
719,59.525,100.707
720,103.27,13.198
721,40.744,107.378
722,-1.023,28.261
723,-7.245,88.121
724,86.393,132.957
725,25.077,90.163
726,10.476,93.729
727,11.093,44.973
728,64.051,76.3
729,119.564,99.328
730,31.47,70.077
731,58.581,123.777
732,74.141,85.11
733,94.763,11.558
734,115.002,28.952
735,-7.393,124.699
736,47.627,85.613
737,66.92,52.749
738,110.452,106.973
739,73.378,55.606
740,93.068,118.856
741,19.009,100.094
742,103.489,70.5
743,115.365,130.878
744,18.454,107.671
745,-6.566,132.941
746,72.979,87.618
747,54.69,12.614
748,41.641,46.774
749,33.534,82.59
750,98.673,18.963
751,29.801,36.028
752,16.004,37.134
753,-16.35,11.535
754,52.818,19.622
755,43.093,135.318
756,-6.781,48.547
757,122.76,120.216
758,56.371,122.27
759,99.499,51.396
760,114.1,118.002
761,71.468,49.06
762,30.173,9.945
763,24.745,60.728
764,25.831,21.458
765,88.714,100.504
766,38.179,36.199
767,100.732,115.036
768,-20.411,77.286
769,-14.632,87.326
770,74.63,102.259
771,35.595,68.136
772,31.591,89.922
773,65.009,92.149
774,35.45,71.617
775,-20.04,45.875
776,32.839,132.888
777,116.981,106.018
778,31.362,20.644
779,49.789,118.598
780,66.717,28.815
781,42.773,25.111
782,90.696,95.719
783,66.253,106.487
784,115.463,54.446
785,93.109,43.717
786,67.214,94.513
787,62.425,100.56
788,93.885,30.61
789,81.455,131.394
790,-3.606,54.527
791,63.011,89.159
792,85.211,103.106
793,103.1,76.215
794,118.84,13.091
795,72.169,85.828
796,50.011,72.559
797,118.594,111.267
798,55.15,118.055
799,30.119,52.127
800,114.013,44.055
801,68.017,83.699
802,-10.484,97.885
803,-11.815,9.461
804,99.75,5.614
805,77.6,40.988
806,-14.949,74.022
807,103.6,41.088
808,109.817,28.148
809,56.474,58.182
810,62.933,45.69
811,97.157,53.049
812,112.717,10.117
813,17.66,64.48
814,80.091,67.975
815,109.329,75.719
816,21.694,38.261
817,89.448,27.93
818,97.795,128.708
819,87.95,37.307
820,38.181,132.328
821,49.687,17.139
822,38.384,118.403
823,115.273,111.573
824,57.586,23.49
825,114.705,26.126
826,46.542,114.521
827,107.248,126.602
828,18.848,117.001
829,67.382,47.363
830,60.63,88.934
831,-14.853,8.807
832,41.924,65.903
833,4.26,77.604
834,120.335,95.85
835,113.252,75.499
836,112.517,116.763
837,85.035,49.701
838,85.31,99.439
839,112.23,132.735
840,81.59,83.867
841,-12.108,102.359
842,108.248,105.14
843,0.97,88.056
844,60.845,101.287
845,101.9,26.517
846,26.631,29.967
847,60.102,63.326
848,114.568,124.526
849,57.713,21.217
850,26.201,8.557
851,0.648,110.287
852,94.28,52.598
853,111.563,95.97
854,105.918,91.594
855,22.599,79.665
856,28.518,131.085
857,14.739,58.726
858,11.67,62.983
859,67.489,7.053
860,13.834,101.395
861,37.769,31.932
862,116.167,79.37
863,42.805,57.683
864,46.712,111.11
865,43.585,51.648
866,6.764,111.554
867,69.428,130.081
868,45.162,90.553
869,64.529,20.736
870,8.513,28.684
871,104.622,50.212
872,115.025,43.419
873,-10.649,84.808
874,103.653,36.432
875,56.737,21.849
876,20.233,7.542
877,83.889,14.455
878,120.053,133.393
879,46.706,128.291
880,-5.674,128.404
881,30.253,58.833
882,-8.493,123.074
883,7.403,16.492
884,-18.542,62.927
885,29.678,91.058
886,-14.338,81.676
887,61.513,132.691
888,63.997,90.709
889,-14.604,73.97
890,70.064,26.389
891,122.021,111.847
892,86.738,99.865
893,52.431,116.228
894,109.006,81.857
895,55.301,89.63
896,46.914,49.179
897,93.461,26.633
898,-15.097,62.141
899,54.378,130.529
900,79.496,132.953
901,21.568,83.625
902,46.487,36.535
903,8.594,98.721
904,67.862,134.344
905,124.342,22.985
906,106.154,59.529
907,24.239,79.13
908,100.878,31.132
909,92.934,79.947
910,74.277,40.217
911,23.177,82.824
912,-6.957,79.809
913,85.733,72.753
914,91.496,12.378
915,26.665,94.093
916,72.303,14.924
917,61.353,111.962
918,65.152,8.521
919,15.705,56.699
920,-21.585,92.263
921,72.235,83.666
922,90.917,59.891
923,-7.439,96.598
924,9.72,79.335
925,115.457,44.431
926,-17.794,114.645
927,55.655,53.64
928,78.307,108.157
929,76.095,25.594
930,95.494,30.896
931,41.538,84.844
932,78.562,84.165
933,24.283,59.331
934,112.279,86.166
935,71.465,124.223
936,101.641,131.621
937,48.786,126.881
938,84.211,121.02
939,-15.026,116.662
940,-2.032,24.196
941,62.115,55.123
942,61.354,65.078
943,-19.096,113.003
944,-2.833,97.158
945,10.333,32.217
946,28.8,70.661
947,43.506,60.708
948,53.952,11.439
949,71.674,49.134
950,-18.867,36.026
951,13.691,120.004
952,117.497,117.561
953,106.38,108.788
954,108.484,102.376
955,104.145,121.422
956,114.982,134.863
957,-1.722,42.599
958,-21.981,68.601
959,99.118,87.401
960,17.362,24.126
961,32.403,73.939
962,85.615,40.002
963,19.708,124.789
964,67.374,34.63
965,6.349,34.844
966,-21.74,114.903
967,122.351,89.86
968,-17.654,121.477
969,47.273,38.508
970,5.194,129.161
971,66.51,29.603
972,-6.2,118.436
973,67.091,110.237
974,68.332,107.642
975,2.005,115.638
976,92.183,48.902
977,48.428,121.568
978,7.071,8.822
979,20.367,117.919
980,-18.977,84.447
981,23.493,114.026
982,84.197,80.846
983,-13.843,100.553
984,19.522,28.518
985,4.515,131.644
986,98.036,56.122
987,-0.148,83.935
988,103.384,124.117
989,100.166,133.73
990,124.459,72.85
991,92.889,105.363
992,9.961,107.532
993,61.498,131.614
994,62.874,102.328
995,116.158,38.791
996,88.649,72.754
997,-19.599,123.364
998,31.851,33.88
999,23.919,77.89
1000,22.803,132.896
1001,18.513,51.809
1002,50.86,46.318
1003,25.579,124.576
1004,23.541,84.614
1005,102.885,75.504
1006,43.177,88.456
1007,102.756,40.003
1008,108.708,99.144
1009,-2.979,21.315
1010,45.938,83.198
1011,27.637,59.711
1012,8.481,35.704
1013,121.415,44.846
1014,41.211,92.226
1015,-6.08,86.834
1016,67.382,22.672
1017,-8.964,112.656
1018,125.024,28.68
1019,32.601,69.36
1020,-19.978,113.192
1021,25.889,35.596
1022,112.455,57.613
1023,39.283,53.566
1024,48.704,6.761
1025,112.125,122.368
1026,124.057,111.42
1027,38.037,18.653
1028,-3.657,102.365
1029,-4.699,8.302
1030,57.91,11.952
1031,-8.911,113.776
1032,42.58,77.789
1033,12.604,91.774
1034,93.248,49.241
1035,35.086,107.968
1036,88.606,36.56
1037,3.268,19.48
1038,114.068,22.069
1039,63.409,57.416
1040,-0.367,21.857
1041,106.916,58.028
1042,24.206,73.483
1043,81.197,124.59
1044,27.57,44.363
1045,106.753,44.052
1046,87.006,39.138
1047,61.609,46.057
1048,1.078,57.119
1049,23.778,66.284
1050,83.511,76.746
1051,25.429,15.15
1052,53.054,116.85
1053,22.444,11.9
1054,-14.213,70.725
1055,92.15,105.485
1056,92.584,38.168
1057,-1.678,99.955
1058,70.963,41.293
1059,84.516,110.061
1060,51.311,124.277
1061,9.967,50.489
1062,3.192,104.715
1063,103.197,16.995
1064,93.82,41.907
1065,111.882,57.454
1066,4.707,45.686
1067,75.64,87.074
1068,91.193,44.629
1069,83.139,25.711
1070,118.964,13.496
1071,12.91,23.184
1072,120.134,135.428
1073,57.943,43.894
1074,118.243,107.608
1075,66.278,69.845
1076,-9.214,88.697
1077,71.3,132.544
1078,63.615,105.179
1079,0.062,79.74
1080,89.761,28.378
1081,24.119,120.81
1082,35.992,122.551
1083,12.63,21.152
1084,23.962,118.149
1085,10.819,80.41
1086,57.052,71.871
1087,59.637,54.94
1088,103.136,59.648
1089,47.144,55.431
1090,80.854,7.259
1091,48.716,87.925
1092,63.642,65.975
1093,71.161,38.226
1094,120.727,106.637
1095,115.281,20.556
1096,76.946,74.455
1097,123.417,35.443
1098,23.663,15.017
1099,110.413,131.917
1100,42.985,52.708
1101,56.365,118.066
1102,110.202,93.475
1103,25.434,77.386
1104,14.587,52.946
1105,49.435,30.637
1106,0.149,29.849
1107,4.452,48.575
1108,28.324,26.205
1109,57.734,132.021
1110,95.947,99.914
1111,42.179,107.464
1112,96.441,68.557
1113,107.386,125.93
1114,38.603,115.389
1115,22.595,68.038
1116,52.742,77.37
1117,88.856,82.356
1118,69.981,113.83
1119,44.221,117.189
1120,93.075,8.46
1121,0.152,5.053
1122,84.083,105.723
1123,74.759,79.216
1124,122.279,90.469
1125,120.492,124.196
1126,91.4,41.687
1127,124.528,53.037
1128,16.975,99.068
1129,38.914,77.231
1130,39.289,75.278
1131,92.652,132.416
1132,-11.287,125.925
1133,43.942,132.989
1134,110.122,35.43
1135,54.565,117.589
1136,46.253,126.693
1137,28.938,18.87
1138,74.927,80.116
1139,20.105,12.505
1140,121.965,73.896
1141,65.853,107.052
1142,76.484,98.333
1143,62.359,80.848
1144,101.095,76.079
1145,95.973,40.743
1146,44.209,14.091
1147,32.942,25.65
1148,115.029,58.726
1149,121.894,73.897
1150,124.008,72.225
1151,124.814,65.897
1152,1.211,72.673
1153,33.692,11.205
1154,112.914,122.663
1155,18.226,99.747
1156,105.9,29.091
1157,73.414,22.512
1158,7.027,89.813
1159,122.274,51.264
1160,86.844,21.945
1161,37.861,59.686
1162,78.033,19.233
1163,41.553,55.03
1164,102.047,14.266
1165,2.69,41.337
1166,115.932,7.012
1167,46.518,17.359
1168,111.67,105.353
1169,109.246,118.631
1170,56.452,92.689
1171,100.308,115.05
1172,96.534,45.526
1173,26.826,82.286
1174,19.048,102.681
1175,64.789,114.941
1176,-21.139,125.672
1177,117.952,50.062
1178,90.469,72.615
1179,62.86,5.167
1180,114.566,95.306
1181,34.989,8.572
1182,70.657,110.752
1183,-5.922,6.852
1184,-14.781,27.284
1185,34.612,43.027
1186,-12.554,113.939
1187,-17.235,36.731
1188,122.743,85.497
1189,103.781,122.405
1190,-13.466,43.204
1191,117.42,107.435
1192,-9.082,127.106
1193,-15.387,105.15
1194,96.82,7.13
1195,6.522,72.398
1196,114.87,76.219
1197,84.87,39.167
1198,16.922,63.27
1199,22.398,123.455
1200,99.234,104.231
1201,-15.637,29.284
1202,118.543,28.776
1203,57.052,13.576
1204,39.015,130.226
1205,29.304,18.949
1206,103.618,74.596
1207,-12.8,107.08
1208,68.883,132.726
1209,116.462,12.046
1210,-10.956,102.647
1211,7.894,22.717
1212,81.914,121.352
1213,109.088,68.156
1214,69.757,125.217
1215,75.418,122.818
1216,2.619,39.811
1217,98.541,29.423
1218,-22.003,17.008
1219,31.922,116.452
1220,-20.482,21.576
1221,67.869,80.787
1222,39.666,64.428
1223,32.325,11.986
1224,67.277,110.925
1225,-19.284,59.391
1226,91.742,83.421
1227,46.87,134.755
1228,120.039,16.748
1229,65.855,121.991
1230,32.801,114.419
1231,52.573,50.621
1232,45.502,44.547
1233,81.991,122.16
1234,89.358,33.798
1235,66.397,84.733
1236,-13.302,87.52
1237,23.471,90.83
1238,121.71,26.917
1239,109.467,44.748
1240,48.906,122.516
1241,103.828,115.706
1242,106.648,78.761
1243,125.092,44.744
1244,101.835,54.434
1245,46.509,15.38
1246,85.285,53.166
1247,62.242,14.722
1248,42.888,9.007
1249,107.494,48.044
1250,-18.916,12.115
1251,25.07,19.51
1252,-4.105,14.553
1253,69.853,80.126
1254,19.917,116.843
1255,92.95,89.524
1256,28.435,68.568
1257,19.042,104.747
1258,124.803,29.74
1259,114.565,119.774
1260,43.704,62.861
1261,16.801,123.045
1262,75.379,91.929
1263,56.572,47.206
1264,8.652,113.958
1265,119.539,56.678
1266,120.316,60.382
1267,50.736,43.844
1268,124.289,120.27
1269,97.138,36.04
1270,73.356,67.433
1271,11.381,32.902
1272,23.666,16.286
1273,66.103,107.049
1274,36.315,82.795
1275,57.964,86.005
1276,-10.318,28.834
1277,23.488,18.667
1278,43.903,83.939
1279,-2.048,50.914
1280,119.452,115.853
1281,55.288,135.725
1282,66.703,42.648
1283,103.052,73.683
1284,33.256,72.877
1285,39.32,115.991
1286,82.567,50.887
1287,80.445,101.102
1288,-16.839,128.636
1289,112.776,51.29
1290,43.538,130.764
1291,57.039,113.617
1292,52.168,35.895
1293,-3.141,89.546
1294,89.725,14.669
1295,26.86,15.124
1296,15.375,121.877
1297,19.496,13.226
1298,44.622,19.322
1299,9.088,62.512
1300,-19.571,82.361
1301,-21.501,118.844
1302,71.185,6.468
1303,-20.709,31.32
1304,80.642,62.059
1305,79.499,132.762
1306,-10.503,39.465
1307,112.424,46.594
1308,-6.213,19.953
1309,76.197,29.37
1310,10.486,37.673
1311,58.97,45.413
1312,124.124,16.054
1313,86.671,50.435
1314,24.441,107.498
1315,30.876,82.524
1316,44.098,105.241
1317,58.519,124.406
1318,-8.074,105.256
1319,86.333,11.018
1320,39.62,134.306
1321,104.357,47.34
1322,73.35,5.72
1323,55.524,68.606
1324,87.793,41.409
1325,46.359,16.442
1326,20.68,50.551
1327,77.041,118.985
1328,58.587,129.764
1329,-1.063,8.377
1330,87.393,109.621
1331,69.667,122.977
1332,31.062,33.81
1333,19.137,61.965
1334,50.451,42.097
1335,36.018,24.441
1336,18.192,80.788
1337,-0.88,37.022
1338,-12.151,56.558
1339,45.75,27.781
1340,52.803,39.095
1341,39.718,62.707
1342,63.716,66.81
1343,-15.589,4.713
1344,-11.001,99.254
